diag_t	n
c("F609", "X610", "T424")	2
c("F609", "X618", "T424", "Z590", "F101")	2
c("F609", "X619", "T424")	2
c("F61+0", "F411", "F191")	2
c("F638", "T424", "X610", "G403")	2
c("F639", "Z911", "R456", "F849")	2
c("F688", "F209")	2
c("F688", "F220")	2
c("F688", "F329", "F321")	2
c("F688", "R443")	2
c("F688", "R460", "Z590", "R451")	2
c("F688", "R51", "R410")	2
c("F688", "R53+2")	2
c("F688", "Z028")	2
c("F688", "Z9150")	2
c("F700", "F200")	2
c("F710", "F29")	2
c("F711", "F3201")	2
c("F791", "E8700")	2
c("F840", "F420")	2
c("F88", "F220")	2
c("F88", "F419")	2
c("F911", "F200")	2
c("F919", "F125")	2
c("F919", "F1900")	2
c("F919", "F259")	2
c("F919", "F302", "F209", "Y495", "G240", "Z911", "R451", "S011", "F100")	2
c("F919", "X7809")	2
c("F928", "Z532", "F710")	2
c("F939", "F409")	2
c("F940", "N185", "Z992")	2
c("F989", "F432")	2
c("F989", "Z032")	2
c("G403", "F319")	2
c("G403", "Z630")	2
c("G408", "Z911")	2
c("R400", "G409", "F329")	2
c("R410", "F317")	2
c("R410", "F319", "X410", "T424", "T426")	2
c("R440", "F209")	2
c("R440", "F220")	2
c("R440", "F510")	2
c("R440", "X781", "F29")	2
c("R441", "F010")	2
c("R441", "R440")	2
c("R451", "F061")	2
c("R451", "F120", "E050", "F319", "Z911", "R739")	2
c("R451", "F122")	2
c("R451", "F319", "Y495")	2
c("R451", "F609")	2
c("R451", "G931")	2
c("R451", "R410")	2
c("R451", "Z046")	2
c("R451", "Z6030", "Z590")	2
c("R451", "Z651", "F110", "F100", "F6030")	2
c("R451", "Z923", "Y433")	2
c("R452", "Z532")	2
c("R452", "Z630")	2
c("R454", "F900", "Z911")	2
c("R454", "Z631")	2
c("R456", "Z046")	2
c("R456", "Z590")	2
c("R456", "Z911", "G20")	2
c("R458", "F100", "F2000")	2
c("R458", "F191")	2
c("R458", "F209")	2
c("R458", "F321")	2
c("R458", "F412")	2
c("R458", "F604")	2
c("R458", "F649")	2
c("R458", "N189", "N179")	2
c("R458", "R410", "I959")	2
c("R458", "R440")	2
c("R458", "R451")	2
c("R458", "R520")	2
c("R458", "S501", "X830", "R440")	2
c("R458", "Y060")	2
c("R458", "Z6030", "S109", "X704")	2
c("R458", "Z634")	2
c("R458", "Z9158", "Y060")	2
c("R462", "N300")	2
c("T391", "Z911", "F100", "X600", "X610", "T424", "T402")	2
c("T424", "T432", "X610")	2
c("T424", "Y060", "F6031", "X610")	2
c("T424", "Y110")	2
c("T424", "Z532", "X610")	2
c("T432", "X619")	2
c("T434", "X619")	2
c("T439", "X619")	2
c("Z046", "Z029")	2
c("Z760", "F329")	2
F00002	1
F001	1
F010	1
F0100	1
F01002	1
F01132	1
F023	1
F03+00	1
F03+01	1
F03+02	1
F03+10	1
F03+2	1
F03+3	1
F0633	1
F0670	1
F0671	1
F069	1
F070	1
F1004	1
F1025	1
F1026	1
F1031	1
F1074	1
F1075	1
F1102	1
F11241	1
F1150	1
F1202	1
F12200	1
F1222	1
F12241	1
F1250	1
F1324	1
F133	1
F1331	1
F1403	1
F1405	1
F1426	1
F143	1
F150	1
F1502	1
F151	1
F152	1
F1551	1
F161	1
F165	1
F169	1
F178	1
F191	1
F1920	1
F1925	1
F193	1
F194	1
F2010	1
F2015	1
F2033	1
F2038	1
F2040	1
F2080	1
F2092	1
F2381	1
F3151	1
F3300	1
F338	1
F348	1
F4001	1
F401	1
F452	1
F454	1
F481	1
F512	1
F539	1
F61+0	1
F639	1
F728	1
F731	1
F790	1
F798	1
F819	1
F845	1
F910	1
F911	1
F912	1
F928	1
F929	1
F949	1
F952	1
G470	1
G479	1
R060	1
R251	1
R413	1
R448	1
R450	1
R455	1
R5218	1
R55	1
R630	1
R633	1
T450	1
Z004	1
Z029	1
Z032	1
Z04880	1
Z598	1
Z731	1
Z733	1
Z914	1
Z9158	1
c("D570", "F310")	1
c("F0011", "F03")	1
c("F024", "B220")	1
c("F0283", "G409")	1
c("F03", "I10", "I481", "Z921", "R392")	1
c("F03", "R410", "K590")	1
c("F03", "R410", "R739", "Y058")	1
c("F03", "X600", "T391")	1
c("F03", "X619", "T424")	1
c("F03+00", "F311")	1
c("F03+02", "D729")	1
c("F03+02", "X619", "T424")	1
c("F03+1", "K564")	1
c("F050", "F319")	1
c("F050", "F319", "R451", "Z4584", "D619", "G912")	1
c("F051", "F03", "R451")	1
c("F051", "R53+2")	1
c("F058", "E8700")	1
c("F059", "E8708", "F209")	1
c("F059", "F259", "Y495", "J9601", "J440")	1
c("F059", "F302")	1
c("F059", "F429", "R455")	1
c("F059", "R202")	1
c("F059", "Y911", "F1024")	1
c("F059", "Z590")	1
c("F059", "Z911", "E272")	1
c("F061", "F028", "G318", "E1100")	1
c("F061", "G20")	1
c("F061", "G20", "F411")	1
c("F062", "F233")	1
c("F062", "F29")	1
c("F062", "F411")	1
c("F0630", "E274", "Y560")	1
c("F0631", "F6031")	1
c("F066", "G409")	1
c("F067", "F102")	1
c("F067", "F321")	1
c("F067", "R296", "D509")	1
c("F067", "R296", "I5009", "D649")	1
c("F067", "R460", "Z590", "Z5958")	1
c("F067", "S400", "R262", "U0712", "Z290")	1
c("F067", "X610", "T424")	1
c("F067", "X640", "T464")	1
c("F067", "Z9150")	1
c("F068", "F322", "R410")	1
c("F069", "N390", "R456")	1
c("F070", "F03")	1
c("F078", "F009", "G309", "J449")	1
c("F078", "F1073", "F106")	1
c("F078", "F329", "F03+02")	1
c("F078", "F411", "D320", "F019")	1
c("F078", "G301", "F001")	1
c("F078", "R441")	1
c("F078", "R53+2")	1
c("F078", "W190", "R53+1", "F03+22")	1
c("F078", "Z751", "I10", "F322", "F6030", "Z742")	1
c("F079", "F03")	1
c("F100", "E538")	1
c("F100", "F1001")	1
c("F100", "F102", "F329")	1
c("F100", "F102", "R458")	1
c("F100", "F102", "X610", "T424")	1
c("F100", "F1025")	1
c("F100", "F120", "R451")	1
c("F100", "F121", "F101")	1
c("F100", "F2001")	1
c("F100", "F203")	1
c("F100", "F209", "X660", "T529")	1
c("F100", "F209", "Z911")	1
c("F100", "F220")	1
c("F100", "F233")	1
c("F100", "F259")	1
c("F100", "F28", "F120", "F150")	1
c("F100", "F28", "Z911")	1
c("F100", "F313", "F102", "Z911")	1
c("F100", "F3200")	1
c("F100", "F322")	1
c("F100", "F322", "T510", "X659", "I269")	1
c("F100", "F328")	1
c("F100", "F331")	1
c("F100", "F39")	1
c("F100", "F411")	1
c("F100", "F412")	1
c("F100", "F419")	1
c("F100", "F4302")	1
c("F100", "F431")	1
c("F100", "F432")	1
c("F100", "F600")	1
c("F100", "F6030")	1
c("F100", "F609")	1
c("F100", "F609", "F329")	1
c("F100", "F69")	1
c("F100", "J954", "R451")	1
c("F100", "R400", "Z713")	1
c("F100", "R4028")	1
c("F100", "R451", "F190")	1
c("F100", "R451", "F419")	1
c("F100", "R452")	1
c("F100", "R452", "F329")	1
c("F100", "R456", "F102")	1
c("F100", "R458", "F102")	1
c("F100", "R458", "F102", "R451")	1
c("F100", "R458", "F142")	1
c("F100", "R458", "F339")	1
c("F100", "R458", "T424", "X610")	1
c("F100", "R458", "Z532")	1
c("F100", "R53+2")	1
c("F100", "S312")	1
c("F100", "T424", "X610")	1
c("F100", "T424", "X610", "F102")	1
c("F100", "T424", "X610", "R458")	1
c("F100", "T506", "X640")	1
c("F100", "T509")	1
c("F100", "U0712", "Z290")	1
c("F100", "X440", "T506")	1
c("F100", "X600")	1
c("F100", "X609", "T393", "F102", "F142")	1
c("F100", "X610", "T424")	1
c("F100", "X610", "T424", "Z638")	1
c("F100", "X619", "T424")	1
c("F100", "X640", "T506")	1
c("F100", "X650")	1
c("F100", "X700", "S109")	1
c("F100", "X849")	1
c("F100", "X994", "S910")	1
c("F100", "Y159")	1
c("F100", "Y912")	1
c("F100", "Y913")	1
c("F100", "Z046")	1
c("F100", "Z303", "X620", "T402")	1
c("F100", "Z532", "R451")	1
c("F100", "Z560", "X610", "T424", "F102")	1
c("F100", "Z565", "F609", "F101")	1
c("F100", "Z590", "Z6028", "F430")	1
c("F100", "Z5970", "F319", "F419", "Z532")	1
c("F100", "Z6028", "Z590", "F430")	1
c("F100", "Z609")	1
c("F100", "Z609", "F120")	1
c("F100", "Z630")	1
c("F100", "Z634", "Z9150")	1
c("F100", "Z730", "Z630", "X610", "T424")	1
c("F100", "Z911", "F209")	1
c("F100", "Z911", "Z9150")	1
c("F100", "Z9150", "F6031")	1
c("F100", "Z9150", "Z6030")	1
c("F100", "Z944")	1
c("F1000", "F29", "R451", "Z6030", "Z590")	1
c("F1000", "F329")	1
c("F1001", "Z9150")	1
c("F1004", "R451")	1
c("F1006", "F321", "G409")	1
c("F1007", "F1005")	1
c("F1007", "F209", "X610", "T424", "F1207")	1
c("F1007", "F328")	1
c("F1007", "F609")	1
c("F1007", "X610", "T426")	1
c("F1007", "Y150")	1
c("F1007", "Z028")	1
c("F101", "D529")	1
c("F101", "E8710")	1
c("F101", "F100", "F131")	1
c("F101", "F100", "F181", "F10241")	1
c("F101", "F121")	1
c("F101", "F121", "F191")	1
c("F101", "F209", "F141", "F121")	1
c("F101", "F3210", "F411", "Z532")	1
c("F101", "K701")	1
c("F101", "R451")	1
c("F101", "R458")	1
c("F101", "R51")	1
c("F101", "X619", "T424")	1
c("F101", "Z532", "Z9150")	1
c("F101", "Z630")	1
c("F101", "Z630", "F121")	1
c("F101", "Z733", "Z567")	1
c("F101", "Z9150")	1
c("F102", "F100", "X610", "T424")	1
c("F102", "F1002", "R460", "W190")	1
c("F102", "F112", "B962", "Y109", "Z911", "N390", "T391")	1
c("F102", "F132")	1
c("F102", "F209")	1
c("F102", "F321")	1
c("F102", "F321", "F100")	1
c("F102", "F430")	1
c("F102", "F432")	1
c("F102", "F6031")	1
c("F102", "R456", "R451")	1
c("F102", "R458")	1
c("F102", "R53+2", "F100")	1
c("F102", "S669", "X610", "F100", "X780", "T424")	1
c("F102", "T402", "Y120")	1
c("F102", "T424", "F100", "X610")	1
c("F102", "T435", "X619")	1
c("F102", "W170", "S3200", "S4230")	1
c("F102", "Y120", "T402")	1
c("F102", "Y902", "F29")	1
c("F102", "Y911")	1
c("F102", "Y912")	1
c("F102", "Z532", "F100")	1
c("F102", "Z630")	1
c("F102", "Z639", "X640", "T509")	1
c("F102", "Z9150", "F4301")	1
c("F102", "Z9158")	1
c("F1023", "F10240")	1
c("F1023", "F172", "F322")	1
c("F1024", "Y910", "F432")	1
c("F10241", "R458")	1
c("F1025", "Z590")	1
c("F103", "K701")	1
c("F103", "R443")	1
c("F1030", "F100")	1
c("F1030", "R53+0")	1
c("F1031", "F108")	1
c("F1040", "K729")	1
c("F105", "F200")	1
c("F1074", "K704", "G312")	1
c("F108", "R060")	1
c("F109", "F1204")	1
c("F109", "R53+2")	1
c("F110", "F100")	1
c("F110", "F55+2")	1
c("F110", "X600", "T391")	1
c("F1100", "X620", "T402")	1
c("F1103", "F341")	1
c("F111", "F1205")	1
c("F111", "X610", "T424")	1
c("F112", "R53+2")	1
c("F11201", "Y909", "F122", "F102", "F609")	1
c("F113", "R33")	1
c("F113", "R451")	1
c("F1130", "F1030", "R520")	1
c("F1130", "R520", "F1030")	1
c("F1140", "R410")	1
c("F1171", "Z651", "Z046")	1
c("F120", "F209")	1
c("F120", "F419")	1
c("F120", "R440", "Z590", "R410", "R400")	1
c("F120", "Y289")	1
c("F120", "Z598")	1
c("F1200", "R451")	1
c("F1200", "Z028")	1
c("F1203", "F122")	1
c("F1203", "F122", "F102", "R451", "F100")	1
c("F121", "F101", "F609", "F321")	1
c("F121", "F209")	1
c("F121", "R458")	1
c("F121", "Z639")	1
c("F122", "F102")	1
c("F122", "F192")	1
c("F122", "F209")	1
c("F122", "F320")	1
c("F1224", "F1023")	1
c("F1224", "F259", "X410")	1
c("F1225", "F1030", "F100", "F317")	1
c("F1225", "F317", "F100", "F1030")	1
c("F123", "Z532", "R104")	1
c("F1230", "F230")	1
c("F1230", "F3200")	1
c("F130", "F121", "F209")	1
c("F130", "F131")	1
c("F130", "F209", "F121")	1
c("F130", "T424", "X610")	1
c("F130", "Z630", "F131")	1
c("F1301", "S609")	1
c("F1302", "F2024")	1
c("F131", "F100")	1
c("F131", "F111")	1
c("F131", "F122", "F200")	1
c("F131", "F329")	1
c("F131", "R410")	1
c("F131", "R451", "F101")	1
c("F131", "T433", "X610", "T391", "X600", "F141", "F430")	1
c("F131", "X610", "T424")	1
c("F131", "X612", "T424")	1
c("F131", "Z911", "Z590", "F102", "F100")	1
c("F132", "F101")	1
c("F133", "E8358", "F2300", "R440", "R441", "E612", "E8768")	1
c("F133", "E8768", "E8358", "F2300", "R440", "R441", "E612")	1
c("F133", "F121", "F111", "R451")	1
c("F1330", "M62800", "F2001")	1
c("F140", "F100", "F6031")	1
c("F140", "F102", "F2004")	1
c("F140", "F259")	1
c("F140", "F602", "F121", "F101")	1
c("F140", "R451", "F259")	1
c("F140", "S012", "Y079", "T741")	1
c("F1401", "S051")	1
c("F1403", "F101", "F6031")	1
c("F1403", "Z911", "F100", "F200")	1
c("F141", "F101", "F609")	1
c("F141", "F131", "F101", "F69")	1
c("F141", "F140")	1
c("F141", "R456", "F1271")	1
c("F141", "Z046", "F101")	1
c("F142", "X619", "T435")	1
c("F1424", "F900", "F29", "F101", "F6031")	1
c("F150", "F102", "F142")	1
c("F1503", "Z532")	1
c("F1506", "Z532", "F121", "G409")	1
c("F1506", "Z9150")	1
c("F151", "F200")	1
c("F152", "F317")	1
c("F152", "Z719")	1
c("F1551", "F69")	1
c("F1604", "Z911", "R440", "S610")	1
c("F169", "R413")	1
c("F172", "F432", "F102")	1
c("F172", "Y450")	1
c("F190", "I460")	1
c("F190", "R33")	1
c("F190", "R451")	1
c("F190", "R451", "F059")	1
c("F190", "Y150")	1
c("F190", "Z046", "R451")	1
c("F190", "Z046", "X619", "T439")	1
c("F190", "Z911", "X789", "R451", "S519")	1
c("F190", "Z911", "X789", "S519", "R451")	1
c("F1900", "F203")	1
c("F191", "F3121")	1
c("F191", "X619", "T424")	1
c("F191", "Z631")	1
c("F192", "F432")	1
c("F192", "F602", "Z532")	1
c("F192", "R455")	1
c("F192", "S6280")	1
c("F192", "T438", "X610")	1
c("F192", "Z532", "F602")	1
c("F1920", "F1020")	1
c("F199", "F602")	1
c("F199", "G409", "Z911")	1
c("F199", "R400")	1
c("F200", "F069")	1
c("F200", "F100", "Z532")	1
c("F200", "F102")	1
c("F200", "F10240")	1
c("F200", "F109")	1
c("F200", "F122", "F102", "F100")	1
c("F200", "F129")	1
c("F200", "F1320")	1
c("F200", "F140")	1
c("F200", "F229", "R001", "R456")	1
c("F200", "F231", "E1130", "H360")	1
c("F200", "F238")	1
c("F200", "F252")	1
c("F200", "F29", "F209")	1
c("F200", "F411")	1
c("F200", "F602")	1
c("F200", "F681")	1
c("F200", "H813")	1
c("F200", "I5002")	1
c("F200", "M2555")	1
c("F200", "R400", "A46")	1
c("F200", "R440", "G470")	1
c("F200", "R451", "Z911")	1
c("F200", "R456")	1
c("F200", "R460", "Z911")	1
c("F200", "R680", "X718")	1
c("F200", "R785")	1
c("F200", "S557", "X789", "Z911")	1
c("F200", "X610")	1
c("F200", "X610", "T435")	1
c("F200", "X611", "T435")	1
c("F200", "X619", "T424")	1
c("F200", "X789", "S557", "Z911")	1
c("F200", "Y909")	1
c("F200", "Y910")	1
c("F200", "Z532", "Z911")	1
c("F200", "Z5918")	1
c("F200", "Z6020")	1
c("F200", "Z911", "E1198")	1
c("F200", "Z911", "X619", "T424")	1
c("F200", "Z9150", "Z911")	1
c("F200", "Z992+0", "Z911", "R601", "B24+1", "N185")	1
c("F2000", "F100")	1
c("F2000", "F239", "R652")	1
c("F2000", "F323")	1
c("F2000", "F329", "R451")	1
c("F2000", "F430")	1
c("F2000", "F4320")	1
c("F2000", "F99")	1
c("F2000", "R460", "Z911", "I872", "F122")	1
c("F2000", "Z532", "R455", "R460", "Z590")	1
c("F2000", "Z911", "Z590", "F140")	1
c("F2001", "R630", "Z911")	1
c("F2004", "F510", "Z911")	1
c("F2005", "Z639")	1
c("F2008", "J9601")	1
c("F2009", "X610", "T433")	1
c("F201", "F120")	1
c("F201", "F329")	1
c("F201", "F709")	1
c("F201", "M7963")	1
c("F201", "X619", "T435", "R452")	1
c("F201", "Z9150")	1
c("F202", "F120")	1
c("F202", "N10", "E785")	1
c("F202", "Z911", "X999", "S010", "S711", "S760")	1
c("F202", "Z911", "X999", "S711", "S760", "S010")	1
c("F2023", "R509")	1
c("F2028", "Z911")	1
c("F203", "F100")	1
c("F203", "F231")	1
c("F203", "F29")	1
c("F203", "R451")	1
c("F2031", "R440")	1
c("F2038", "X619", "T435", "T424")	1
c("F204", "F1007", "F3210")	1
c("F204", "F3210", "F1007")	1
c("F206", "F302")	1
c("F208", "F200")	1
c("F208", "F206")	1
c("F208", "F232")	1
c("F208", "F2330")	1
c("F209", "A46")	1
c("F209", "F078")	1
c("F209", "F100", "Z911")	1
c("F209", "F101")	1
c("F209", "F102")	1
c("F209", "F102", "Z911")	1
c("F209", "F121")	1
c("F209", "F141", "Z653", "Z911", "Z590")	1
c("F209", "F141", "Z911", "F602", "Z590")	1
c("F209", "F191")	1
c("F209", "F2000")	1
c("F209", "F206")	1
c("F209", "F21")	1
c("F209", "F708")	1
c("F209", "G470")	1
c("F209", "G470", "R410")	1
c("F209", "I269")	1
c("F209", "J440")	1
c("F209", "J441")	1
c("F209", "K701")	1
c("F209", "N390")	1
c("F209", "R101", "Z911")	1
c("F209", "R300")	1
c("F209", "R400", "Z911")	1
c("F209", "R410")	1
c("F209", "R410", "G470")	1
c("F209", "R456", "S5250")	1
c("F209", "R458", "F602")	1
c("F209", "R471")	1
c("F209", "R529")	1
c("F209", "S109", "X702")	1
c("F209", "S911", "X780", "S519")	1
c("F209", "T424", "X610")	1
c("F209", "X600", "T391")	1
c("F209", "X610", "T433")	1
c("F209", "X619", "T435")	1
c("F209", "X702", "S109")	1
c("F209", "Y455", "X400")	1
c("F209", "Z046")	1
c("F209", "Z532", "R460", "Z911")	1
c("F209", "Z590", "F101")	1
c("F209", "Z590", "R460", "Z911")	1
c("F209", "Z590", "T424", "X610", "F100")	1
c("F209", "Z590", "X610", "T424", "F100")	1
c("F209", "Z5910")	1
c("F209", "Z6020", "Z911")	1
c("F209", "Z604", "Z911")	1
c("F209", "Z651", "Z604", "Z5913", "X831", "S019")	1
c("F209", "Z653", "Z590")	1
c("F209", "Z911", "F101")	1
c("F209", "Z911", "F121")	1
c("F209", "Z911", "R440", "R456")	1
c("F209", "Z911", "R451", "F100")	1
c("F209", "Z911", "R456")	1
c("F209", "Z911", "Z590", "F122")	1
c("F209", "Z911", "Z639")	1
c("F2090", "F2000")	1
c("F2090", "F99")	1
c("F2090", "J458")	1
c("F2090", "T590")	1
c("F2090", "Z000")	1
c("F2095", "Z349", "Y0499")	1
c("F220", "B338")	1
c("F220", "D570")	1
c("F220", "F121", "F209")	1
c("F220", "F142", "T424", "X610")	1
c("F220", "F190")	1
c("F220", "F206")	1
c("F220", "F229")	1
c("F220", "F2301")	1
c("F220", "F233")	1
c("F220", "F29", "F411")	1
c("F220", "F302")	1
c("F220", "F319")	1
c("F220", "F323")	1
c("F220", "F329")	1
c("F220", "F419")	1
c("F220", "F510")	1
c("F220", "F609")	1
c("F220", "G35")	1
c("F220", "R451", "Z911")	1
c("F220", "R456")	1
c("F220", "R458")	1
c("F220", "R53+0")	1
c("F220", "X610", "T424", "F142")	1
c("F220", "X610", "T426")	1
c("F220", "X780", "S618")	1
c("F220", "Z532")	1
c("F220", "Z590")	1
c("F220", "Z630", "F100")	1
c("F220", "Z911", "X610", "F2098", "T434")	1
c("F220", "Z911", "Z9150")	1
c("F228", "F2581")	1
c("F229", "F209")	1
c("F230", "F1205")	1
c("F230", "F3020")	1
c("F230", "F431", "F6031")	1
c("F230", "F6031", "F431")	1
c("F2300", "F3200")	1
c("F2301", "F602", "R451")	1
c("F231", "F1424")	1
c("F231", "F220", "R451")	1
c("F231", "F451")	1
c("F231", "R441")	1
c("F231", "Z734", "R104")	1
c("F2310", "R471", "R400")	1
c("F232", "F100")	1
c("F232", "F121")	1
c("F232", "F191", "T590", "Z911")	1
c("F232", "F28")	1
c("F232", "X610", "T424")	1
c("F2320", "F120")	1
c("F233", "F122", "F102")	1
c("F233", "F199", "X629", "T402")	1
c("F233", "F3020")	1
c("F233", "R073")	1
c("F233", "R529")	1
c("F233", "T402", "X629", "F199")	1
c("F233", "Z911", "F220")	1
c("F239", "D570")	1
c("F239", "F101", "R451", "Z911")	1
c("F239", "F308")	1
c("F2391", "Z599")	1
c("F24", "F3200")	1
c("F250", "F122", "Z590", "F209")	1
c("F250", "F319")	1
c("F250", "Z532", "Z590", "Z911")	1
c("F250", "Z911", "K851")	1
c("F2501", "F2510")	1
c("F2501", "R451", "F309")	1
c("F2501", "Z911", "F2000")	1
c("F251", "E1190", "Z911")	1
c("F251", "E1198")	1
c("F251", "F321", "R458")	1
c("F251", "R458", "F321")	1
c("F251", "T424", "X610")	1
c("F251", "T471", "X640")	1
c("F251", "X610", "T435", "T433")	1
c("F251", "X640", "T471")	1
c("F251", "Z634", "X610", "T424")	1
c("F251", "Z711")	1
c("F252", "F4322", "Z911")	1
c("F252", "Z911")	1
c("F2520", "F6031")	1
c("F258", "F2008")	1
c("F258", "R451")	1
c("F258", "Z590", "F101")	1
c("F259", "F120")	1
c("F259", "F121", "F101")	1
c("F259", "F142", "F122", "F102", "Z911")	1
c("F259", "F220")	1
c("F259", "F312")	1
c("F259", "F430")	1
c("F259", "G310")	1
c("F259", "J690")	1
c("F259", "R073")	1
c("F259", "R074")	1
c("F259", "T426", "X610")	1
c("F259", "T435", "X619")	1
c("F259", "T439", "X610")	1
c("F259", "X610", "T424")	1
c("F259", "X619", "T435")	1
c("F259", "X718")	1
c("F259", "X849", "G211", "G259", "T438", "G249")	1
c("F259", "Z631")	1
c("F259", "Z651", "F131", "Z911")	1
c("F259", "Z911")	1
c("F2590", "F250")	1
c("F28", "F100", "Z911", "F609")	1
c("F28", "J189", "J209", "F89")	1
c("F28", "R451")	1
c("F28", "T391", "X600")	1
c("F28", "Y051")	1
c("F29", "A46")	1
c("F29", "D570")	1
c("F29", "F100", "R451")	1
c("F29", "F102")	1
c("F29", "F10240")	1
c("F29", "F199")	1
c("F29", "F220")	1
c("F29", "F228")	1
c("F29", "F3021")	1
c("F29", "F321", "F430")	1
c("F29", "F339")	1
c("F29", "F609", "F430")	1
c("F29", "F841")	1
c("F29", "F989")	1
c("F29", "G409")	1
c("F29", "R104")	1
c("F29", "R440", "X610", "T424", "T433")	1
c("F29", "R451", "E162")	1
c("F29", "R456", "F121")	1
c("F29", "R458")	1
c("F29", "R460")	1
c("F29", "R529")	1
c("F29", "R53+0")	1
c("F29", "T019", "F122", "X780")	1
c("F29", "T391", "X600")	1
c("F29", "T424", "Z911", "X619")	1
c("F29", "T432", "T435", "T424", "X610", "R400")	1
c("F29", "T435", "X619")	1
c("F29", "X600", "T391")	1
c("F29", "X610", "T424")	1
c("F29", "X619", "T435")	1
c("F29", "X619", "Z9150")	1
c("F29", "X780", "F122", "T019")	1
c("F29", "Z532")	1
c("F29", "Z590", "R600")	1
c("F29", "Z911", "X619", "T424")	1
c("F29", "Z911", "Z590")	1
c("F29", "Z9150", "Z634", "F430")	1
c("F300", "F430")	1
c("F300", "R074")	1
c("F300", "Z634")	1
c("F301", "R410")	1
c("F301", "Z911", "F121")	1
c("F302", "B1819")	1
c("F302", "F120", "R33", "Z590")	1
c("F302", "F259")	1
c("F302", "F300", "F310")	1
c("F302", "F310", "F300")	1
c("F302", "F432")	1
c("F302", "R451", "Z21", "R400")	1
c("F302", "R460", "B851", "B86", "Z911")	1
c("F302", "Z21", "R400", "R451")	1
c("F302", "Z590", "R33", "F120")	1
c("F3020", "G20")	1
c("F308", "F101", "Y420")	1
c("F309", "F250")	1
c("F309", "F302")	1
c("F309", "F319", "M316")	1
c("F309", "F919")	1
c("F309", "R410")	1
c("F309", "X610", "T435")	1
c("F309", "Z911")	1
c("F310", "E059")	1
c("F310", "F4322")	1
c("F310", "F609")	1
c("F310", "R410", "F309")	1
c("F310", "X610", "T435", "T424", "F6031")	1
c("F310", "Y450", "K088", "K590", "R400")	1
c("F310", "Z630", "T743")	1
c("F311", "F310")	1
c("F311", "F919", "F309")	1
c("F311", "X610", "T433")	1
c("F312", "F229", "F419", "F172")	1
c("F312", "J209")	1
c("F312", "R53+0")	1
c("F312", "X802", "Z9150")	1
c("F312", "Y150")	1
c("F3121", "F312")	1
c("F3121", "Z9150")	1
c("F313", "F100", "Z911", "X610", "T424")	1
c("F313", "F101", "X645", "T471", "X615", "T435")	1
c("F313", "F192", "Z9150")	1
c("F313", "T424", "T432", "X600")	1
c("F313", "T432", "T424", "X600")	1
c("F313", "T434", "X610")	1
c("F313", "T435", "X615", "T471", "X645", "F101")	1
c("F313", "X610", "T424", "Z911", "F6031")	1
c("F313", "X610", "T426")	1
c("F313", "X780", "S517", "F100", "Z911")	1
c("F313", "Z911", "F100", "S517", "X780")	1
c("F313", "Z911", "F100", "T424", "X610")	1
c("F313", "Z911", "K529")	1
c("F313", "Z911", "T424", "X610")	1
c("F313", "Z9150", "X610")	1
c("F3130", "F430")	1
c("F3130", "X610", "T424", "T435")	1
c("F3130", "X610", "T424", "Z911")	1
c("F3130", "Z290", "U0714")	1
c("F3130", "Z911", "X610", "T424")	1
c("F3131", "F322")	1
c("F3131", "F6031")	1
c("F314", "F100")	1
c("F314", "R53+1")	1
c("F314", "Z9150")	1
c("F314", "Z9158")	1
c("F315", "F059")	1
c("F315", "F609")	1
c("F315", "X780", "S617", "Z911")	1
c("F316", "F313")	1
c("F316", "F419")	1
c("F316", "X602", "T391")	1
c("F316", "X610", "T424")	1
c("F316", "X610", "T435")	1
c("F316", "X640", "T424", "X610", "T381")	1
c("F316", "Z911", "F101", "X610", "T426", "F131")	1
c("F316", "Z9150")	1
c("F316", "Z9158")	1
c("F317", "D570")	1
c("F317", "M2556", "X420", "T402")	1
c("F317", "N10")	1
c("F317", "R53+0")	1
c("F318", "X610", "T425")	1
c("F319", "E101")	1
c("F319", "F067", "R101", "Z911")	1
c("F319", "F09")	1
c("F319", "F101")	1
c("F319", "F1020", "F302")	1
c("F319", "F3020")	1
c("F319", "F430")	1
c("F319", "I10")	1
c("F319", "K590", "R392")	1
c("F319", "R400")	1
c("F319", "R451", "E6695")	1
c("F319", "R462", "Z911")	1
c("F319", "R53+1")	1
c("F319", "R630")	1
c("F319", "R630", "F2000")	1
c("F319", "X610", "T435", "T432")	1
c("F319", "X610", "Z9150")	1
c("F319", "Z590")	1
c("F319", "Z740")	1
c("F319", "Z742", "F419")	1
c("F319", "Z911", "R462")	1
c("F319", "Z911", "T435", "X620")	1
c("F319", "Z911", "X620", "T435")	1
c("F319", "Z911", "X649", "T509")	1
c("F319", "Z911", "Z9150", "F6031")	1
c("F319", "Z911", "Z9150", "F6031", "Z630", "F101")	1
c("F319", "Z9150")	1
c("F320", "F100", "X610", "T424")	1
c("F320", "F101", "X619", "T424")	1
c("F320", "F102")	1
c("F320", "F122", "F102")	1
c("F320", "F151", "X610", "T424")	1
c("F320", "F152", "X610", "T432")	1
c("F320", "F3211")	1
c("F320", "F411")	1
c("F320", "F4300")	1
c("F320", "F431")	1
c("F320", "F439")	1
c("F320", "F502")	1
c("F320", "F603")	1
c("F320", "F6030")	1
c("F320", "G409")	1
c("F320", "J459")	1
c("F320", "K712", "R634", "X600", "T391")	1
c("F320", "R452")	1
c("F320", "R53+2")	1
