diag_t	n
c("F302", "F233", "F418")	3
c("F3020", "F302")	3
c("F3020", "R451")	3
c("F309", "F192", "R451")	3
c("F309", "R458")	3
c("F309", "Z751")	3
c("F310", "F309", "R410")	3
c("F310", "X610", "T426", "T424", "S2200", "Z6020")	3
c("F311", "R53+0")	3
c("F311", "Z911")	3
c("F311", "Z911", "E162", "F102")	3
c("F312", "F3120")	3
c("F312", "F3800")	3
c("F312", "R460")	3
c("F312", "Z911", "R060")	3
c("F313", "F6031")	3
c("F313", "X615", "T424", "Z5913")	3
c("F313", "Z911", "F141")	3
c("F313", "Z911", "Z630", "F101", "X610", "T424", "F430")	3
c("F3130", "F251")	3
c("F3130", "F329")	3
c("F314", "Z911")	3
c("F317", "F3020")	3
c("F317", "F322")	3
c("F319", "F302", "F1020")	3
c("F319", "F309")	3
c("F319", "G212")	3
c("F319", "G473")	3
c("F320", "F201")	3
c("F320", "U0710")	3
c("F320", "X610", "T424", "X780", "S318")	3
c("F3201", "S518", "X789", "F102")	3
c("F321", "E8768")	3
c("F321", "F1924")	3
c("F321", "F220")	3
c("F321", "F3210")	3
c("F321", "F411")	3
c("F321", "F412")	3
c("F321", "F6031", "T424", "X610")	3
c("F321", "F607")	3
c("F321", "F849")	3
c("F321", "G470", "N162", "D868", "N184")	3
c("F321", "N948", "X600", "T393")	3
c("F321", "T393", "T424", "X610", "X600")	3
c("F321", "T509", "X649")	3
c("F321", "X602", "T424")	3
c("F321", "X610", "T426")	3
c("F321", "X610", "T426", "F100")	3
c("F321", "X780", "T402", "F100", "T019", "X620")	3
c("F321", "Z590", "X619", "T424", "F100")	3
c("F321", "Z6030", "S109", "X700", "R440")	3
c("F321", "Z635", "X619", "T424")	3
c("F3210", "F100")	3
c("F3210", "F100", "X610", "T424")	3
c("F3210", "F102", "F419")	3
c("F3210", "F321")	3
c("F3210", "F430")	3
c("F3210", "X610", "T424")	3
c("F3210", "Z719")	3
c("F3211", "F411")	3
c("F3211", "G442")	3
c("F3211", "X610", "T432")	3
c("F322", "F101", "X610", "T424")	3
c("F322", "F101", "Z630")	3
c("F322", "F141", "F121", "R634", "R630")	3
c("F322", "F230")	3
c("F322", "F431", "F845", "X610", "T432")	3
c("F322", "F500")	3
c("F322", "F6031")	3
c("F322", "F700")	3
c("F322", "G819", "X709", "F200")	3
c("F322", "T424", "T432", "T433", "X610", "F6031")	3
c("F322", "X608", "T391")	3
c("F322", "X610", "T426")	3
c("F322", "X619", "T435", "T432")	3
c("F322", "X620", "T402")	3
c("F322", "X702", "T000", "C910")	3
c("F322", "X789", "S711")	3
c("F322", "Z599", "F419")	3
c("F322", "Z599", "Z9158")	3
c("F322", "Z630", "Z9150")	3
c("F322", "Z639")	3
c("F322", "Z9150", "F122", "F609")	3
c("F322", "Z9150", "X619")	3
c("F322", "Z9158", "E1190", "F172")	3
c("F323", "F2000", "F209")	3
c("F323", "F259")	3
c("F323", "F3201")	3
c("F323", "F3210")	3
c("F323", "F419", "F69")	3
c("F323", "F700")	3
c("F323", "F719", "Q938", "E039", "F172", "R443")	3
c("F323", "K590", "Z638")	3
c("F323", "R451")	3
